Albums,Bio,Born,Born In,Dies,Listeners,Period,Similar Composers,Tags,Top Songs,composer,wiki
"['Thomas Tallis - TALLIS: Mass for Four Voices / Motets', 'Thomas Tallis - TALLIS: Spem in alium / Missa Salve intemerata', 'Thomas Tallis - Early English Organ Music, Vol.  2', 'Thomas Tallis - Sacred Voices - Music of the Renaissance', 'Thomas Tallis - Spem In Alium 40-part Motet']","Thomas Tallis (c 1505 – 23 November 1585) was an English composer. Tallis flourished as a church musician during the often stormy sixteenth century in England. He occupies a primary place in anthologies of English church music, and is considered among the best of its earliest composers.  Little is known about his early life, but there seems to be agreement that he was born around 1505, in the latter part of the reign of Henry VII. His first known appointment to a musical position was as organist of Dover Priory <a href=""https://www.last.fm/music/Thomas+Tallis"">Read more on Last.fm</a>",30 January 1505,"Kent, England, United Kingdom",23 November 1585 (aged 80),56794,Renaissance,"['William Byrd', 'Ralph Vaughan Williams', 'Felix Mendelssohn', 'Sir Edward Elgar', 'Carlo Gesualdo']",[],"['Thomas Tallis - Spem in alium', 'Thomas Tallis - Salvator mundi', 'Thomas Tallis - O sacrum convivium', 'Thomas Tallis - Loquebantur variis linguis', 'Thomas Tallis - Te lucis ante terminum', 'Thomas Tallis - If Ye Love Me', 'Thomas Tallis - Videte miraculum', 'Thomas Tallis - Audivi vocem', 'Thomas Tallis - In manus tuas Domine', 'Thomas Tallis - Sancte Deus']",Thomas Tallis,/wiki/Thomas_Tallis
"['Christopher Tye - TYE: Missa Euge Bone / MUNDY: Magnificat', 'Christopher Tye - Tye: Consort Music - In nomine', 'Christopher Tye - Christopher Tye: Latin & English Church Music', 'Christopher Tye - Christopher Tye: Lawdes Deo (Consort Music)', 'Christopher Tye - Taverner & Tudor Music I: The Western Wind']","Christopher Tye (c 1505–c 1572) was an English composer and organist.  He studied at Cambridge University, and became a Doctor of Music both there and at Oxford. He was choirmaster of Ely Cathedral from about 1543, resigning his post in 1561. He may have been music teacher to Edward VI.  His Latin church music includes masses (notably one based on the song ""The Western Wynde"", also the basis of masses by John Taverner and John Sheppard) and psalm settings. <a href=""https://www.last.fm/music/Christopher+Tye"">Read more on Last.fm</a>",1505,"Cambridgeshire, England, United Kingdom",1572 (aged 67),12219,Renaissance,"['Pierre de La Rue', 'Heinrich Isaac', 'Jacobus Clemens non Papa', 'Manuel Cardoso', 'Adrian Willaert']",[],"['Christopher Tye - Omnes gentes', ""Christopher Tye - In Nomine No. 14, 'Reporte'"", ""Christopher Tye - In Nomine No. 20, 'Crye'"", 'Christopher Tye - In pace', 'Christopher Tye - Gloria', 'Christopher Tye - Peccavimus', 'Christopher Tye - In nomine: Rachell’s Weepinge', 'Christopher Tye - Miserere mei Deus', ""Christopher Tye - Rachell's Weepinge"", 'Christopher Tye - In Nomine À 5, ""Rachells Weepinge""']",Christopher Tye,/wiki/Christopher_Tye
"['Cristóbal de Morales - Invocation To The Night', 'Cristóbal de Morales - Missa pro defunctis (1544)', 'Cristóbal de Morales - The Borgia Dynasty', 'Cristóbal de Morales - The Spanish Renaissance World of Miguel de Fuenllana', 'Cristóbal de Morales - (null)']","Cristóbal de Morales (c.1500 – between September 4 and October 7, 1553) was a Spanish composer of the Renaissance. <a href=""https://www.last.fm/music/Crist%C3%B3bal+de+Morales"">Read more on Last.fm</a>",1500,"Sevilla, Sevilla, Andalucía, Spain",7 October 1553 (aged 53),5949,Renaissance,"['Tomás Luis de Victoria', 'Eustache Du Caurroy', 'Alonso Lobo', 'Francisco Guerrero', 'Jean Richafort']",[],"['Cristóbal de Morales - Magnificat (Octavi toni)', 'Cristóbal de Morales - Parce mihi, Domine', 'Cristóbal de Morales - Officium defunctorum: Parce mihi Domine: Parce mihi Domine', 'Cristóbal de Morales - Morales: Officium defunctorum, a 4: II. Lectio I, ""Parce mihi, Domine""', 'Cristóbal de Morales - Ecce virgo concipiet', 'Cristóbal de Morales - In Primo Nocturno I', 'Cristóbal de Morales - In Primo Nocturno II', 'Cristóbal de Morales - Jubilate Deo', 'Cristóbal de Morales - Lachrimosa dies illa - Cristóbal de Morales', 'Cristóbal de Morales - Jubilate Deo omnis terra - Cristóbal de Morales']",Cristóbal de Morales,/wiki/Crist%C3%B3bal_de_Morales
"['Costanzo Festa - Choral Music - Hofhaimer, P. / Isaac, H. / Senfl, L. / Josquin Des Prez / Festa, C. (Motets for Emperor Maximilian I)', 'Costanzo Festa - Sacred Music At The Vienna Court Chapel', 'Costanzo Festa - The History Of Classical Music - Part 1 - From Gregorian Chant To C.P.E. Bach', 'Costanzo Festa - Festa: 32 Variations On ""La Spagna""', 'Costanzo Festa - Senfl, L.: Missa Paschalis / Motets / Lieder']","Costanzo Festa (ca. 1485–1490 – 10 April 1545) was an Italian composer of the Renaissance. While he is best known for his madrigals, he also wrote sacred vocal music. He was the first native Italian polyphonist of international renown, and with Philippe Verdelot, one of the first to write madrigals, in the infancy of that most popular of all sixteenth-century Italian musical forms.      <a href=""https://www.last.fm/music/Costanzo+Festa"">Read more on Last.fm</a>",1490,"Piemonte, Italy",10 April 1545 (aged 55),452,Renaissance,"['Andrea Gabrieli', 'Orlande de Lassus', 'Guillaume Dufay', 'Alexander Agricola', 'Luca Marenzio']",[],"['Costanzo Festa - Regem Archangelorum', 'Costanzo Festa - 32 Variations on ""La Spagna"": Contrapunto 46 à 4 - Cantus firmus au ténor', 'Costanzo Festa - 32 Variations on ""La Spagna"":Contrapunto 41 à 4 - Cantus firmus à la troisième voix', 'Costanzo Festa - 32 Variations on ""La Spagna"": Contrapunto 105 à 5 - Cantus firmus à la quatrième voix', 'Costanzo Festa - 32 Variations on ""La Spagna"": Contrapunto 101 à 4 - Cantus firmus à la troisième voix', 'Costanzo Festa - 32 Variations on ""La Spagna"": Contrapunto 88 à 4 - Cantus firmus à la troisième voix', 'Costanzo Festa - Quando Ritorovo La Mia Pastorella', 'Costanzo Festa - 32 Variations on ""La Spagna"": Contrapunto 76 à 4 - Cantus firmus à la troisième voix', 'Costanzo Festa - Inviolata, integra et casta es', 'Costanzo Festa - 32 Variations on ""La Spagna"": Contrapunto 124 à 8 - Cantus firmus à la sixième voix']",Costanzo Festa,/wiki/Costanzo_Festa
"['John Taverner - Misa Gloria tibi Trinitas', 'John Taverner - Discover Early Music', 'John Taverner - John Taverner - Imperatrix Inferni - Votive Antiphons', 'John Taverner - Christmas (A Tudor)', 'John Taverner - Western Wind: Music by John Taverner & Court Music for Henry VIII']","John Taverner (c. 1490–1545) is regarded as the most important English composer of his day. He was also an organist.  Taverner was the first Organist and Master of the Choristers at Christ Church, Oxford, appointed by Thomas Cardinal Wolsey in 1526. The college had been founded in 1525 by Wolsey, and was then known as Cardinal College. Immediately before this, Taverner had been a clerk fellow at the Collegiate Church of Tattershall, Lincolnshire. <a href=""https://www.last.fm/music/John+Taverner"">Read more on Last.fm</a>",1490,"Lincolnshire, England, United Kingdom",18 October 1545 (aged 55),15251,Renaissance,"['Thomas Weelkes', 'Christopher Tye', 'Pierre de La Rue', 'John Dunstable', 'Orlando Gibbons']",[],"['John Taverner - In nomine', 'John Taverner - Western Wind Mass: Benedictus', 'John Taverner - Western Wind Mass: Credo', 'John Taverner - Western Wind Mass: Gloria', 'John Taverner - Kyrie Leroy', 'John Taverner - Western Wind Mass: Agnus Dei', 'John Taverner - Western Wind Mass: Sanctus', 'John Taverner - Mater Christi', 'John Taverner - Christe Jesu, pastor bone', 'John Taverner - Missa Gloria tibi Trinitas: Sanctus']",John Taverner,/wiki/John_Taverner
"['Adrian Willaert - WILLAERT: Missa Christus resurgens / Magnificat / Ave Maria', 'Adrian Willaert - Music of the Italian Renaissance', 'Adrian Willaert - Willaert: Musica Nova - The Motets', 'Adrian Willaert - Venezia Millenaria', 'Adrian Willaert - The Book of Madrigals']","Adrian Willaert (c. 1490–7th December 1562) was a Flemish composer of the Renaissance and founder of the Venetian School. He was one of the most representative members of the generation of northern composers who moved to Italy and transplanted the polyphonic Franco-Flemish style there.  He was probably born at Bruges, although a secondary source has suggested Roulers. According to his student, the renowned late 16th century music theorist Gioseffo Zarlino, Willaert went to Paris first to study law, but instead decided to study music. <a href=""https://www.last.fm/music/Adrian+Willaert"">Read more on Last.fm</a>",1490,"Lincolnshire, England, United Kingdom",18 October 1545 (aged 55),8302,Renaissance,"['Jacobus Clemens non Papa', 'Pierre de La Rue', 'Heinrich Isaac', 'Juan del Encina', 'Nicolas Gombert']",[],"['Adrian Willaert - Magnificat sexti toni', 'Adrian Willaert - Gloria', 'Adrian Willaert - Vecchie letrose non valete niente', 'Adrian Willaert - Missa super Benedicta es: Agnus Dei', 'Adrian Willaert - Ave Maria', 'Adrian Willaert - Kyrie', 'Adrian Willaert - Agnus Dei', 'Adrian Willaert - Kyrie from Missa Christus Resurgens', 'Adrian Willaert - Credo From Missa Christus Resurgens', 'Adrian Willaert - Christus resurgens (Richafort)']",Adrian Willaert,/wiki/Adrian_Willaert
"['Thomas Crecquillon - From the Imperial Court: Music for the House of Hapsburg', 'Thomas Crecquillon - The Essential Tallis Scholars', 'Thomas Crecquillon - endBeginning', 'Thomas Crecquillon - Cornet Music - Merula, T. / Rore, C. / Gabrieli, A. / Frescobaldi, G.A. / Palestrina, G.P. / Crecquillon, T.', 'Thomas Crecquillon - Pour ung Plaisir']","Thomas Crecquillon (Thomas Crequillon) (c. 1505 – probably early 1557) was a Franco-Flemish composer of the Renaissance. He is considered to be a member of the Netherlands school. While his place of birth is unknown, it was probably within the region loosely known at the time as the Netherlands, and he probably died at Béthune.  Very little is known about his early life. He was a member of the chapel of Emperor Charles V, but whether he was maître <a href=""https://www.last.fm/music/Thomas+Crecquillon"">Read more on Last.fm</a>",,,1557 (aged None),1058,Renaissance,"['Jacob Clemens Non Papa', 'Philippe de Monte', 'Giaches de Wert', 'Mateo Romero', 'Cristóbal de Morales']",[],"['Thomas Crecquillon - Andreas Christi famulus', 'Thomas Crecquillon - Pour ung plaisir', 'Thomas Crecquillon - Onques amour', 'Thomas Crecquillon - Petite fleur coincte et jolye', 'Thomas Crecquillon - Congratulamini Mihi', 'Thomas Crecquillon - Crecquillon: Pater peccavi', 'Thomas Crecquillon - Un gay bergier', 'Thomas Crecquillon - Ung Gay Bergier', 'Thomas Crecquillon - Chanson - Des herbes ai assés', 'Thomas Crecquillon - Crecquillon: Pater peccavi - 1. Pater peccavi']",Thomas Crecquillon,/wiki/Thomas_Crecquillon
"['Nicolas Gombert - GOMBERT: Chansons and Motets', 'Nicolas Gombert - Music from the Court of Charles V', 'Nicolas Gombert - GOMBERT: Magnificat I / Salve Regina / Credo / Tulerunt Dominum', 'Nicolas Gombert - From the Imperial Court: Music for the House of Hapsburg', 'Nicolas Gombert - Early Music French Chansons Josquin; Jannequin; Sermisy; Lassus']","Nicolas Gombert (c.1495–c.1560) was a Franco-Flemish composer of the Renaissance. He was one of the most famous and influential composers between Josquin Desprez and Palestrina, and best represents the fully-developed, complex polyphonic style of this transitional period in music history.  <a href=""https://www.last.fm/music/Nicolas+Gombert"">Read more on Last.fm</a>",1495,"Flanders, Belgium",1560 (aged 65),8032,Renaissance,"['Pierre de La Rue', 'Adrian Willaert', 'Jacobus Clemens non Papa', 'Jacob Obrecht', 'Manuel Cardoso']",[],"['Nicolas Gombert - Ave regina caelorum (a 5)', ""Nicolas Gombert - En attendant l'espoir (a 6)"", 'Nicolas Gombert - Magnificat primi toni', 'Nicolas Gombert - O malheureuse journee (a 5)', 'Nicolas Gombert - Pleust a dieu (a 3)', 'Nicolas Gombert - Tous les regretz (a 6)', 'Nicolas Gombert - Super flumina Babylonis', 'Nicolas Gombert - Missa Tempore paschali: Sanctus a 6...', 'Nicolas Gombert - Missa Tempore paschali: Agnus Dei III a 12', 'Nicolas Gombert - Salve Regina (Alternatim)']",Nicolas Gombert,/wiki/Nicolas_Gombert
"['Clément Janequin - Les Cris De Paris - Chansons De Janequin & Sermisy', 'Clément Janequin - Janequin: Le Chant des Oyseaulx', 'Clément Janequin - Janequin: Messes', 'Clément Janequin - harmonia mundi - Gold 2013', ""Clément Janequin - Marco Dall'Aquila: Pieces for Lute""]","Clément Janequin (c. 1485 in Châtellerault, near Poitiers – 1558 in Paris) was a French composer of the Renaissance. He was one of the most famous composers of popular chansons of the entire Renaissance, and along with Claudin de Sermisy, was hugely influential in the development of the Parisian chanson, especially the programmatic type. The wide spread of his fame was made possible by the concurrent development of music printing. <a href=""https://www.last.fm/music/Cl%C3%A9ment+Janequin"">Read more on Last.fm</a>",1485,"Châtellerault, Vienne, Nouvelle-Aquitaine, France",1558 (aged 73),4625,Renaissance,"['Philippe de Monte', ""Paschal de L'Estocart"", 'Francisco de Peñalosa', 'Paolo da Firenze', 'Giaches de Wert']",[],"[""Clément Janequin - L'amour, la mort et la vie"", 'Clément Janequin - Le chant du rossignol', 'Clément Janequin - Le chant des oiseaux', 'Clément Janequin - Le chant des oyseaulx', 'Clément Janequin - Toutes les nuictz', 'Clément Janequin - La guerre', 'Clément Janequin - Messe ""L\'Aveuglé Dieu"": IV. Sanctus', 'Clément Janequin - La Guerre: La bataille de Marignan', 'Clément Janequin - La Battaglia', 'Clément Janequin - Au joly jeu du pousse avant']",Clément Janequin,/wiki/Cl%C3%A9ment_Janequin
"['Philippe Verdelot - Verdelot, P.: Madrigals for A Tudor King', 'Philippe Verdelot - Verdelot: Madrigals for a Tudor King', 'Philippe Verdelot - Madrigals', 'Philippe Verdelot - Madrigal History Tour', 'Philippe Verdelot - Oh Flanders Free: Music of the Flemish Renaissance']","Philippe Verdelot (1480 to 1485 – c.1530 to 1532?) was a French composer of the Renaissance, who spent most of his life in Italy. He is commonly considered to be the father of the Italian madrigal, and certainly was one of its earliest and most prolific composers; in addition he was prominent in the musical life of Florence during the period after the recapture of the city by the Medici from the followers of Girolamo Savonarola.  Verdelot was born Les Loges, Seine-et-Marne, France. <a href=""https://www.last.fm/music/Philippe+Verdelot"">Read more on Last.fm</a>",1480,"Seine-et-Marne, Île-de-France, France",1530 (aged 50),2163,Renaissance,"['Jacques Arcadelt', 'Antonio Caprioli', 'Pierre Certon', 'Adrian Willaert', 'Bartolomeo Trosylho']",[],"['Philippe Verdelot - Veni in ortum meum', ""Philippe Verdelot - Ogn'hor per voi sospiro"", 'Philippe Verdelot - Fuggi, fuggi, cor mio', ""Philippe Verdelot - Con l'angelico riso"", 'Philippe Verdelot - Divini occhi sereni', 'Philippe Verdelot - Letamini in Domino', 'Philippe Verdelot - Madonna, il tuo bel viso', 'Philippe Verdelot - Verdelot: Ultimi miei sospiri', 'Philippe Verdelot - Ultimi miei sospiri', ""Philippe Verdelot - Si liet'e grata morte""]",Philippe Verdelot,/wiki/Philippe_Verdelot
"['Antoine Brumel - Hilliard Live 3', 'Antoine Brumel - Terra Tremuit', 'Antoine Brumel - Ockeghem: Requiem / Missa Fors seulement', 'Antoine Brumel - endBeginning', 'Antoine Brumel - Memento Mei']","Antoine Brumel (c. 1460 – 1512 or 1513) was a French composer. He was one of the first renowned French members of the Franco-Flemish school of the Renaissance, and, after Josquin Desprez, was one of the most influential composers of his generation. Little is known about his early life, but he was probably born west of Chartres, perhaps in the town of Brunelles, near to Nogent-le-Rotrou, making him one of the first of the Netherlandish composers who was actually French. <a href=""https://www.last.fm/music/Antoine+Brumel"">Read more on Last.fm</a>",1460,,1512 (aged 52),7080,Renaissance,"['Juan de Anchieta', 'The Choir of Magdalen College, Oxford & Fretwork', 'Duarte Lobo', 'Fretwork & The Choir Of Magdalen College, Oxford', 'Jacobus Clemens non Papa']",[],"['Antoine Brumel - Ave. virgo gloriosa', 'Antoine Brumel - O Crux, ave, spes unica', 'Antoine Brumel - Nativitas unde guadia', 'Antoine Brumel - Credo', 'Antoine Brumel - Missa Et ecce terrae motus (The Earthquake Mass): Kyrie', 'Antoine Brumel - Mater Patris', 'Antoine Brumel - Kyrie and Gloria (Missa Victimae paschali laudes)', 'Antoine Brumel - Agnus Dei', 'Antoine Brumel - Du tout plongiet/Fors seulement', 'Antoine Brumel - Sanctus and Benedictus']",Antoine Brumel,/wiki/Antoine_Brumel
"['Antonius Divitis - Requiem', 'Antonius Divitis - Medici Wedding (The)', 'Antonius Divitis - Francis I: Music of a Reign', 'Antonius Divitis - (null)', 'Antonius Divitis - Masters from Flanders: Johannes Ockeghem and France']","Antonius Divitis (also Anthonius Rycke, and Anthoine Le Riche – ""the rich"") (c. 1470 – c. 1530) was a Flemish composer of the Renaissance, of the generation slightly younger than Josquin des Prez. He was important in the development of the parody mass. He was born in Leuven. He first appears in the historic record in 1501 in Bruges, at the church of St. Donatian, where he taught singing to the choirboys. Later in 1501 he became singing master, then he became succentor, and at the end of 1501 was ordained a priest. <a href=""https://www.last.fm/music/Antonius+Divitis"">Read more on Last.fm</a>",1470,"Leuven, Vlaams-Brabant, Flanders, Belgium",1530 (aged 60),41,Renaissance,"['Orlandus Lassus', 'Loyset Compère', 'Josquin Desprez', 'Johannes Ockeghem', 'Guillaume Dufay']",[],"['Antonius Divitis - Sanctus', 'Antonius Divitis - Salve regina', 'Antonius Divitis - Per lignum', 'Antonius Divitis - Per lignum salvi facti sumus', 'Antonius Divitis - Communio - Lux eteran luceat eis', 'Antonius Divitis - Communio. Lux eterna luceat eis', 'Antonius Divitis - Requiem: Sanctus (Divitis)', 'Antonius Divitis - Requiem: Communio. Lux eterna luceat eis (Divitis)', 'Antonius Divitis - Credo', 'Antonius Divitis - {Antonius DIVITIS. Sanctus}']",Antonius Divitis,/wiki/Antonius_Divitis
"['Antoine de Févin - Lute Works, 1517', 'Antoine de Févin - The Gadfly (Original Score)', 'Antoine de Févin - Divitis & De Févin: Lux Perpetua, Requiem', ""Antoine de Févin - The Spy's Choirbook"", ""Antoine de Févin - Anne Boleyn's Songbook: Music & Passions of a Tudor Queen""]","Antoine de Févin (c. 1470 – late 1511 or early 1512) was a French composer of the Renaissance. He was active at the same time as Josquin Desprez, and shares many traits with his more famous contemporary.  Févin was most likely born in Arras, the son of an alderman. His brother Robert de Févin was also a composer. Most likely, Antoine left Arras in the late 1480s, though there is no evidence that he went to Italy, the most common destination for Franco-Flemish composers of the time. <a href=""https://www.last.fm/music/Antoine+de+F%C3%A9vin"">Read more on Last.fm</a>",1470,,1512 (aged 42),1511,Renaissance,"['Franchino Gaffurio', 'Zachara da Teramo', 'Guillaume Morlaye', 'Giacomo Gorzanis', 'Robert Ballard']",[],"['Antoine de Févin - Sancta Trinitas', 'Antoine de Févin - Ave Maria (Excerpt) [Excluded from the Soundtrack]', 'Antoine de Févin - Adiutorium nostrum', 'Antoine de Févin - Tempus meum est (arr. D. Skinner for choir)', 'Antoine de Févin - Sancta trinitas unus Deus', 'Antoine de Févin - Kyrie', 'Antoine de Févin - Fors Solemant', 'Antoine de Févin - Introïtus – Requiem eternam', 'Antoine de Févin - Lux Perpetua, Requiem: Introitus: Requiem eternam', 'Antoine de Févin - Agnus Dei']",Antoine de Févin,/wiki/Antoine_de_F%C3%A9vin
"['Martin Agricola - Verleih uns Frieden. Alte und neue Vokalkompositionen zu Liedern Martin Luthers', 'Martin Agricola - Ein feste Burg ist unser Gott', 'Martin Agricola - Euch ist ein Kindlein heut geborn: Luthers Weihnachtslieder', 'Martin Agricola - MonteverdiChor München 1990-2005', 'Martin Agricola - Luther und die Musik']","Martin Agricola (6 January 1486 – 10 June 1556) was a German composer of Renaissance music and a music theorist.  Agricola was born in Schwiebus in Lebusz.  From 1524 until his death he lived at Magdeburg, where he occupied the post of teacher or cantor in the Protestant school. The senator and music-printer Georg Rhau, of Wittenberg, was a close friend of Agricola, whose theoretical works, providing valuable material concerning the change from the old to the new system of notation, he published. <a href=""https://www.last.fm/music/Martin+Agricola"">Read more on Last.fm</a>",6 January 1486,"Świebodzin, Lubuskie, Poland",10 June 1556 (aged 70),24,Renaissance,[],[],"['Martin Agricola - Kanon ""Gelobet seist du, Jesu Christ""', 'Martin Agricola - Ein feste Burg ist unser Gott: III. Martin Agricola', 'Martin Agricola - Ein feste Burg ist unser Gott', 'Martin Agricola - Weinachtsgesang', 'Martin Agricola - Kanon über >>Christe, der du bist Tag und Licht<<', 'Martin Agricola - Kanon über »Christe, der du bist Tag und Licht«', 'Martin Agricola - Kanon ueber Christe der du bist Tag und Licht']",Martin Agricola,/wiki/Martin_Agricola
"['Pierre de La Rue - LA RUE:  Mass of the Seven Sorrows of the Blessed Virgin / Missa Pascale', 'Pierre de La Rue - Pierre de la Rue: Missa ""L\'Homme armé"", Requiem', 'Pierre de La Rue - Pierre de la Rue: Missa de Sancta Anna', 'Pierre de La Rue - The A-la-mi-re Manuscripts: Flemish Polyphonic Treasures', 'Pierre de La Rue - The Golden Age Of The European Polyphony']","Pierre de La Rue (c.1452 – 20 November 1518) was a Franco-Flemish composer of the Renaissance. A member of the same generation as Josquin Desprez, he ranks with Alexander Agricola, Antoine Brumel, Loyset Compère, Heinrich Isaac, Jacob Obrecht and Gaspar van Weerbeke as one of the most famous and influential exponents of the Netherlands polyphonic style in the decades around 1500.  He was probably born at Tournai, in modern Belgium, and likely educated at the Notre-Dame Cathedral there, which had a substantial musical establishment. <a href=""https://www.last.fm/music/Pierre+de+La+Rue"">Read more on Last.fm</a>",1452,"Tournai, Hainaut, Wallonie, Belgium",20 November 1518 (aged 66),10616,Renaissance,"['Jacobus Clemens non Papa', 'Adrian Willaert', 'Heinrich Isaac', 'Jacob Obrecht', 'Christopher Tye']",[],"['Pierre de La Rue - Mijn Hert Altijt Heeft Verlanghen', 'Pierre de La Rue - Lamentatione Jeremiae - Lectio III - Daleth', 'Pierre de La Rue - Soubz ce tumbel', 'Pierre de La Rue - Jam sauche', 'Pierre de La Rue - Lamentatione Jeremiae - Lectio III - Ghimel', 'Pierre de La Rue - Autant en emporte', 'Pierre de La Rue - Lamentatione Jeremiae - Responsorium II', 'Pierre de La Rue - Lamentatione Jeremiae - Responsorium III', 'Pierre de La Rue - Myn hert altyt heeft verlanghen I', 'Pierre de La Rue - Vexilla Regis - Passio Domini a 4']",Pierre de La Rue,/wiki/Pierre_de_La_Rue
"['Jean Mouton - Pieces in a Modern Style 2', ""Jean Mouton - So You Think You Don't Like Classical Music? Vol. 1"", 'Jean Mouton - Choral Masterpieces Of The Renaissance', 'Jean Mouton - Art & Music: Riemenschneider - Music of His Time', 'Jean Mouton - Christmas']","Jean Mouton (c. 1459–1522) was a French composer of the Renaissance. He was famous both for his motets, which are among the most refined of the time, and for being the teacher of Adrian Willaert, one of the founders of the Venetian School.  He was born either in 1459 or earlier, but records of his early life, as is so often the case with Renaissance composers, are scanty. Most likely he was from the village of Holluigue (now Haut-Wignes), near Boulogne-sur-Mer. <a href=""https://www.last.fm/music/Jean+Mouton"">Read more on Last.fm</a>",1459,"Samer, Pas-de-Calais, Hauts-de-France, France",30 October 1522 (aged 63),4444,Renaissance,"['Juan de Anchieta', 'Heinrich Finck', 'Duarte Lobo', 'Jacobus Clemens non Papa', 'King of England Henry VIII']",[],"['Jean Mouton - Celeste beneficium - Audiutorium nostrum', 'Jean Mouton - Jamais', 'Jean Mouton - Nesciens Mater', 'Jean Mouton - Nesciens Mater virgo virum - motet: 8vv', 'Jean Mouton - Nesciens Mater 1', 'Jean Mouton - Nesciens Mater 2', 'Jean Mouton - Mouton: Salva nos, Domine', 'Jean Mouton - Tota pulchra es', 'Jean Mouton - Mouton: Ave Maria, Virgo Serena - 1. Ave Maria, Gratia Plena', 'Jean Mouton - Quaeramus cum pastoribus']",Jean Mouton,/wiki/Jean_Mouton
"['Heinrich Isaac - Tugend und Untugend: German Music from the Time of Luther', 'Heinrich Isaac - The Book of Madrigals', 'Heinrich Isaac - Henricus Isaac', 'Heinrich Isaac - Argentum et aurum', 'Heinrich Isaac - Choral Music - Hofhaimer, P. / Isaac, H. / Senfl, L. / Josquin Des Prez / Festa, C. (Motets for Emperor Maximilian I)']","Heinrich Isaac (also Henricus, Arrigo d'Ugo, and Arrigo il Tedesco) (around 1450 – 26 March 1517) was a Franco-Flemish composer of the Renaissance. He is regarded as one of the most significant contemporaries of Josquin Desprez, and had an especially large influence on the subsequent development of music in Germany.  Little is known about Isaac's early life, but it is probable that he was born in Flanders. It is known that he was writing music by the mid 1470s <a href=""https://www.last.fm/music/Heinrich+Isaac"">Read more on Last.fm</a>",1450,"Flanders, Belgium",26 March 1517 (aged 67),12912,Renaissance,"['Jacobus Clemens non Papa', 'Adrian Willaert', 'Pierre de La Rue', 'Christopher Tye', 'Claudin de Sermisy']",[],"['Heinrich Isaac - Innsbruck, ich muss dich lassen', 'Heinrich Isaac - Maudit soyt', 'Heinrich Isaac - Kyrie', 'Heinrich Isaac - Fille, vous avez mal garde', 'Heinrich Isaac - Carmen a 5', 'Heinrich Isaac - Las rauschen', 'Heinrich Isaac - La mi lasol', 'Heinrich Isaac - Greiner zancker', 'Heinrich Isaac - Isaac: Optime Pastor - 1. Optime Divino', 'Heinrich Isaac - Innsbruck, ich muß dich lassen']",Heinrich Isaac,/wiki/Heinrich_Isaac
"['Josquin des Prez - Josquin Desprez: Motets and Chansons/Hilliard Ensemble', 'Josquin des Prez - Choral Music - Victoria, T.L. / Josquin Des Prez (Motets) (Copenhagan Schola Cantorum)', ""Josquin des Prez - Messes de l'Homme Armé"", ""Josquin des Prez - Josquin: Missa L'homme Arme / Ave Maria / Absalon, Fili Mi"", 'Josquin des Prez - Josquin des Prez: Missa Pange lingua']","Josquin des Prez [Josquin Lebloitte dit Desprez] (French pronunciation: [ʒɔskɛ̃ depʁe]; c. 1450/1455 – 27 August 1521), often referred to simply as Josquin, was a Franco-Flemish composer of the Renaissance. He is also known as Josquin Desprez and Latinized as Josquinus Pratensis, alternatively Jodocus Pratensis, although he himself expressed his preferred spelling of his name, Josquin des Prez, in an acrostic in his motet Illibata Dei virgo nutrix. <a href=""https://www.last.fm/music/Josquin+des+Prez"">Read more on Last.fm</a>",1450,,27 August 1521 (aged 71),29535,Renaissance,"['Johannes Ockeghem', 'Guillaume Dufay', 'Orlande de Lassus', 'Tomás Luis de Victoria', 'Orlando Gibbons']",[],"['Josquin des Prez - Missa Hercules Dux Ferrariae: Sanctus', 'Josquin des Prez - Ave Maria', 'Josquin des Prez - El grillo', 'Josquin des Prez - Mille regretz', 'Josquin des Prez - Agnus Dei', 'Josquin des Prez - Obsecro Te', 'Josquin des Prez - Nunc dimittis', 'Josquin des Prez - Tu Pauperum Refugium', 'Josquin des Prez - Gaude virgo mater Christi', 'Josquin des Prez - Benedicta es, caelorum regina']",Josquin des Prez,/wiki/Josquin_des_Prez
